Companies,Roles,Locations
ABC Technologies,Software Engineer,United States
Accenture,SWE,
Adobe,Hardware Engineer,
Amazon,FPGA Engineer,
AMD,Embedded Software Engineer,
American Airlines,Firmware Engineer,
American Express,Silicon Engineer,
Android,Nanoelectronics Engineer,
Apple,Quantitative Developer,
Aquatic Capital Management,Machine Learning Engineer,
ARM,AI Engineer,
AT&T,,
Autodesk,,
Blizzard,,
BMW,,
Bose,,
Capital One,,
Charles Schwab,,
Chase,,
Chicago Trading,,
Cisco,,
Citadel,,
Claude,,
Comcast,,
Cursor,,
Databricks,,
Datadog,,
DE Shaw,,
Dell,,
Deloitte,,
Delta Airlines,,
DraftKings,,
Dropbox,,
Duke Energy,,
eBay,,
Epic Games,,
Fidelity Investments,,
Frontier Airlines,,
Garmin,,
General Dynamics,,
GitHub,,
Goldman Sachs,,
Google,,
Honda,,
Hudl,,
Hudson River Trading,,
IBM,,
IMC Trading,,
Intel,,
Jane Street,,
Johnson & Johnson,,
JP Morgan,,
Lenovo,,
LinkedIn,,
Lockheed Martin,,
Logitech,,
Lucid Software,,
Lyft,,
Marvel,,
McKinsey,,
Medtronic,,
Mercedes,,
Meta,,
MetLife,,
Microchip,,
Micron Technology,,
Microsoft,,
MongoDB,,
Morgan Stanley,,
Motorola,,
NASA,,
Netflix,,
Nike,,
Nintendo,,
Nokia,,
Northrop Grumman,,
Notion,,
NVIDIA,,
OpenAI,,
Optiver,,
Oracle,,
Other airline companies,,
Other car companies,,
Palantir,,
PayPal,,
Pfizer,,
Point72,,
Qualcomm,,
Red Hat,,
Roblox,,
Samsung,,
Schneider Electric,,
Sony,,
Southwest Airlines,,
SpaceX,,
T-Mobile,,
Tesla,,
Texas Instruments,,
TikTok,,
Toyota,,
TSMC,,
Twitter,,
Two Sigma,,
Uber,,
Venmo,,
Visa,,
Walt Disney,,
Warner Bros,,
Wells Fargo,,
